"","year","state","state.1","poptotal","evangelical_pop","nonwhite","gini_coef","total_expenditure","total_revenue","gsppcap","incomepcap","unemployment","povrate","earned_income_taxcredit","x_sales_taxes","x_tax_burden","x_top_corporateincometaxrate","hou_chamber","sen_chamber","h_diffs","s_diffs","pctfemaleleg","efna_index","vepvotingrate","overall_fin_reg","union_density","innovatescore_boehmkeskinner","citi6013","anti_environment","anti_welfare","anti_race","mathscore4th","readscore4th","sqli","genderrights_state_eras","solaw","w_environment_solar_taxcredit","drugs_medical_marijuana","labor_minwage_abovefed","labor_right_to_work","i_rps"
"1",1980,"AK","Alaska",401851,11.9,0.205990046,0.50873017,2032718,3229513,NA,14975,9.5,9.6,NA,0,0.078,9.4,NA,NA,NA,NA,NA,NA,0.59,NA,29.70000076,0.054081,42.22034,0.186731607,0.645576799,0.323892333,NA,NA,NA,1,0,0,NA,1,0,"0"
"2",1981,"AK","Alaska",418491,11.9,0.233478472,0.47148901,2543293,5133651,NA,16528,9.3,9,NA,0,0.059,9.4,NA,NA,NA,NA,10,4.7,NA,NA,33.70000076,0.050068,34.49155,0.147285461,0.606685367,0.33038942,NA,NA,NA,1,0,0,NA,1,0,"0"
"3",1982,"AK","Alaska",449606,11.9,0.234899998,0.49747211,3280885,5888850,NA,18819,9.9,10.6,NA,0,0.057,9.4,NA,NA,NA,NA,NA,4.9,0.63,NA,29.29999924,0.050068,37.84078,0.107839309,0.567793936,0.336886507,NA,NA,NA,1,0,0,NA,1,0,"0"
"4",1983,"AK","Alaska",488417,11.9,0.23313114,0.505189,3854028,5246838,NA,18843,10.3,12.6,NA,0,0.054,9.4,NA,NA,NA,NA,13.3,5,NA,NA,24.89999962,0.050997,45.21283,0.09370777,0.510682159,0.253267273,NA,NA,NA,1,0,0,NA,1,0,"0"
"5",1984,"AK","Alaska",513702,11.9,0.235832691,0.50255704,4156859,5462672,NA,19395,10,9.6,NA,0,0.057,9.4,NA,NA,NA,NA,13.3,5.1,0.61,NA,24.20000076,0.050997,46.41699,0.060021095,0.410707924,0.243036537,NA,NA,NA,1,0,0,NA,1,0,"0"
"6",1985,"AK","Alaska",532495,16.799999,0.236022562,0.50468951,4949743,5917595,NA,20104,9.7,8.7,NA,0,0.059,9.4,NA,NA,NA,NA,18.3,5.1,NA,NA,25,0.027553,44.593,0.117188089,0.510660926,0.35553522,NA,NA,NA,1,0,0,NA,1,0,"0"
"7",1986,"AK","Alaska",544268,16.799999,0.239795953,0.57390326,4220878,6115297,NA,19673,10.8,11.4,NA,0,0.055,9.4,NA,NA,NA,NA,18.3,5,0.51,NA,23.29999924,0.027553,51.07051,0.062719747,0.398956631,0.222500332,NA,NA,NA,1,0,0,NA,1,0,"0"
"8",1987,"AK","Alaska",539309,16.799999,0.245473102,0.64467525,4416197,4888975,54747,19244,10.8,12,NA,0,0.058,9.4,NA,NA,NA,NA,20,5,NA,NA,22.29999924,0.014438,54.97746,0.083150849,0.553413934,0.228342453,NA,NA,NA,1,0,0,NA,1,0,"0"
"9",1988,"AK","Alaska",541983,16.799999,0.25232473,0.69510776,4197902,5158039,51373,19848,7.3,11,0,0,0.058,9.4,NA,NA,NA,NA,20,5,0.56,NA,24.29999924,0.014438,53.86577,0.07030873,0.497121468,0.297802963,NA,NA,NA,1,0,0,NA,1,0,"0"
"10",1989,"AK","Alaska",547159,16.799999,0.257314444,0.6674968,4447698,5112848,52974,21525,6.7,10.5,0,0,0.056,9.4,NA,NA,NA,NA,21.7,5.3,NA,NA,22.89999962,0.013487,46.69838,0.028860822,0.464123759,0.249728083,NA,NA,NA,1,0,0,NA,1,0,"0"
"11",1990,"AK","Alaska",550043,16.799999,0.25994727,0.67073411,4687583,5547052,52002,22594,6.9,11.4,0,0,0.055,9.4,NA,NA,NA,NA,20,5.3,0.53,NA,23.20000076,0.013487,54.96703,0.040594775,0.44528641,0.197530229,NA,NA,NA,1,0,0,NA,1,0,"0"
"12",1991,"AK","Alaska",569273,16.799999,0.259525478,0.66460383,4941025,6355069,45285,23092,8.5,11.8,0,0,0.056,9.4,NA,NA,NA,NA,23.3,5.1,NA,NA,21.60000038,0.024716,49.09368,0.051836677,0.441126436,0.22777355,NA,NA,NA,1,0,0,NA,1,0,"0"
"13",1992,"AK","Alaska",587073,16.799999,0.261299819,0.68781942,5254925,6327318,44418,23706,9.1,10.2,0,0,0.055,9.4,NA,NA,NA,NA,23.3,5.2,0.66,10,20.89999962,0.024716,52.78075,0.077168375,0.514629567,0.247797622,NA,NA,24,1,0,0,NA,1,0,"0"
"14",1993,"AK","Alaska",596993,16.799999,0.264316589,0.6669994,5423008,7358035,43454,24478,7.5,9.1,0,0,0.054,9.4,NA,NA,NA,NA,21.7,4.8,NA,NA,20.39999962,0.086243,51.61766,0.102500074,0.588132698,0.267821694,NA,NA,20,1,0,0,NA,1,0,"0"
"15",1994,"AK","Alaska",600624,16.799999,0.26655075,0.66679198,5751517,6203364,43407,25186,7.8,10.2,0,0,0.054,9.4,NA,NA,NA,NA,21.7,5.3,0.53,10,19.39999962,0.086243,39.94071,0.096374646,0.640478735,0.294185626,NA,NA,21,1,0,0,NA,1,0,"0"
"16",1995,"AK","Alaska",601345,15.5,0.266159743,0.67123258,5599033,8365899,45678,25778,NA,7.1,0,0,0.054,9.4,0.725,0.661,1.072,1.586,23.3,5,NA,NA,23.20000076,0.050007,30.47595,0.112951487,0.626328319,0.288137041,NA,NA,18,1,0,0,NA,1,0,"0"
"17",1996,"AK","Alaska",604918,15.5,0.269591749,0.66764355,5629502,8253549,44812,26179,7.8,8.2,0,0,0.052,9.4,0.725,0.661,1.072,1.586,23.3,5.1,0.6,10,22.39999962,0.050007,37.0107,0.129528329,0.612177903,0.282088456,223.833,NA,19,1,0,0,0,1,0,"0"
"18",1997,"AK","Alaska",608846,15.5,0.274293929,0.60664004,5722455,9438512,60589,27197,7.9,8.8,0,0,0.05,9.4,0.736,0.709,1.094,1.651,13.3,5.2,NA,NA,20,0.063428,31.84009,0.110515743,0.55137975,0.266440561,NA,NA,18,1,0,0,0,1,0,"0"
"19",1998,"AK","Alaska",615205,15.5,0.276798368,0.5890373,5803173,9039233,56896,27943,5.8,9.4,0,0,0.05,9.4,0.736,0.709,1.094,1.651,13.3,5.5,0.55,12,20.39999962,0.063428,36.30187,0.091503166,0.490581597,0.250792667,NA,NA,23,1,0,0,0,1,0,"0"
"20",1999,"AK","Alaska",619500,15.5,0.281127423,0.5819838,6140559,7312896,55892,28538,6.4,7.6,0,0,0.049,9.4,0.717,0.709,1.094,1.558,18.3,5.5,NA,NA,20.39999962,0.016509,32.9792,0.086277165,0.492745189,0.23910555,NA,NA,23,1,0,0,1,1,0,"0"
"21",2000,"AK","Alaska",627428,15.5,0.279942572,0.57478046,6611154,8584447,54362,30508,6.6,7.6,0,0,0.048,9.4,0.717,0.709,1.094,1.558,18.3,5.5,0.68,12,21.89999962,0.016509,21.73506,0.081051163,0.494908782,0.227418433,NA,NA,23,1,0,0,1,1,0,"0"
"22",2001,"AK","Alaska",633160,15.5,0.283753544,0.56509936,9047480,6185917,56322,32251,6.3,8.5,0,0,0.047,9.4,0.703,0.714,1.245,1.372,21.7,6.2,NA,NA,22.10000038,0.061465,28.6746,0.089707211,0.4607232,0.244527731,NA,NA,17,1,0,0,1,1,0,"0"
"23",2002,"AK","Alaska",642391,15.5,0.286993772,0.57166678,7402469,5018805,57692,33174,7.7,8.8,0,0,0.047,9.4,0.703,0.714,1.245,1.372,20,5.7,0.54,11,24.5,0.061465,30.81409,0.09836325,0.426537617,0.261637029,NA,NA,16,1,0,0,1,1,0,"0"
"24",2003,"AK","Alaska",650426,15.5,0.29016462,0.58108729,8121540,6924221,55949,33657,8,9.6,0,0,0.048,9.4,0.673,0.73,1.237,1.475,20,6.2,NA,NA,22.5,0.030943,37.05696,0.095708944,0.42941716,0.235272163,232.992,211.547,29,1,0,0,1,1,0,"0"
"25",2004,"AK","Alaska",660975,15.5,0.29270348,0.59042096,8089240,8852189,57955,34993,7.5,9.2,0,0,0.051,9.4,0.673,0.73,1.237,1.475,20,5.2,0.69,10,20.29999924,0.030943,43.06116,0.093054637,0.432296702,0.208907297,NA,NA,23,1,0,0,1,1,0,"0"
"26",2005,"AK","Alaska",668625,18.700001,0.295690596,0.58914733,8055865,9185403,56713,36911,6.9,10,0,0,0.055,9.4,0.658,0.613,1.12,1.321,18.3,5.5,NA,NA,22.89999962,0.038943,40.29357,0.084730655,0.417320869,0.218570445,235.511,211.061,36,1,0,0,1,1,0,"0"
"27",2006,"AK","Alaska",676301,18.700001,0.295960069,0.57496226,8607819,10844814,59044,38951,6.6,8.9,0,0,0.054,9.4,0.658,0.613,1.12,1.321,18.3,5.4,0.51,10,22.39999962,0.038943,45.08204,0.07640668,0.402345035,0.228233593,NA,NA,34,1,0,0,1,1,0,"0"
"28",2007,"AK","Alaska",681111,18.700001,0.339096516,0.56249607,9191744,12819862,59909,41316,6.3,7.6,0,0,0.059,9.4,0.643,0.559,1.272,1.321,21.7,5.7,NA,NA,23.89999962,0.109617,59.80638,0.106296614,0.436707398,0.192109821,237.274,214.477,35,1,0,0,1,1,0,"0"
"29",2008,"AK","Alaska",686293,18.700001,0.342618972,0.56250513,10115914,16314578,59057,44801,6.7,8.2,0,0,0.061,9.4,0.637,0.559,1.268,1.321,21.7,5.8,0.68,10,23.70000076,0.109617,67.10396,0.13618654,0.471069761,0.155986048,NA,NA,35,1,0,0,1,1,0,"0"
"30",2009,"AK","Alaska",698895,18.700001,0.348411471,0.56697708,10991829,9641320,63252,43233,7.7,11.7,0,0,0.065,9.4,NA,NA,NA,NA,21.7,5.6,NA,NA,22.29999924,0.007663,64.23826,0.135762185,0.452525634,0.189059565,237.212,211.127,31,1,0,0,1,0,0,"0"
"31",2010,"AK","Alaska",713910,18.700001,0.287276,0.5642215,10996963,12374672,63090,44205,7.9,12.4,0,0,0.07,9.4,NA,NA,NA,NA,21.7,5.6,0.52,10,22.89999962,0.007663,50.97919,0.135337844,0.433981506,0.222133082,NA,NA,28,1,0,1,1,1,0,"0"
"32",2011,"AK","Alaska",722128,18.700001,0.351617992,0.56681156,11320127,14920900,NA,52368,7.6,11.7,0,0,NA,9.4,0.64,-0.087,1.309,1.362,23.3,5.7,NA,NA,22.10000038,NA,55.60345,0.134342283,0.461552083,0.248577715,236.36,207.924,37,1,0,1,1,1,0,"0"
"33",2012,"AK","Alaska",731449,18.700001,NA,0.57301652,11729460,14983391,NA,53597,7.1,10,0,0,NA,9.4,0.64,-0.087,1.309,1.362,25,5.9,0.59,10,NA,NA,54.5122,0.133346722,0.489122659,0.275022347,NA,NA,31,1,0,1,1,1,0,"0"
"34",2013,"AK","Alaska",735132,18.700001,NA,0.55941278,12214628,14020602,NA,52682,6.9,10.9,0,0,NA,9.4,0.634,0.621,1.361,1.597,28.3,6,NA,NA,NA,NA,60.27676,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,0,"0"
"35",2014,"AK","Alaska",736732,NA,NA,NA,12979282,12871274,NA,55775,6.8,11.9,0,0,NA,9.4,0.634,0.621,1.28,1.597,26.7,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,0,"0"
"36",2015,"AK","Alaska",738432,NA,NA,NA,13039607,8419335,NA,57562,6.4,9.2,NA,NA,NA,NA,0.527,0.634,1.292,1.545,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"37",2016,"AK","Alaska",741894,NA,NA,NA,12436184,8071732,NA,56217,6.6,12.6,NA,NA,NA,NA,0.527,0.634,1.292,1.545,30,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"38",2017,"AK","Alaska",739795,NA,NA,NA,11296273,10563363,NA,57295,7.2,14.4,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"39",2018,"AK","Alaska",735139,NA,NA,NA,11979183,9919284,NA,60234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"40",2019,"AK","Alaska",731545,NA,NA,NA,NA,NA,NA,62629,NA,NA,NA,0,NA,9.4,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"41",2020,"AK","Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"42",1980,"AL","Alabama",3893888,41.700001,0.262101442,0.48160598,4001856,4153588,NA,7825,8.8,21.2,NA,4,0.084,5,NA,NA,NA,NA,NA,NA,0.49,NA,19.5,0.015052,29.22127,0.160634011,0.53030371,0.318873806,NA,NA,NA,0,0,0,NA,0,1,"0"
"43",1981,"AL","Alabama",3918531,41.700001,0.266107172,0.48185831,4373725,5105414,NA,8659,10.7,24.1,NA,4,0.085,5,NA,NA,NA,NA,4.3,6.1,NA,NA,18.39999962,0.040254,26.89806,0.13767156,0.486293657,0.303468586,NA,NA,NA,0,0,0,NA,0,1,"0"
"44",1982,"AL","Alabama",3925266,41.700001,0.266050696,0.48532206,4666822,4819764,NA,9152,14,21.6,NA,4,0.084,5,NA,NA,NA,NA,NA,6.2,0.41,NA,17.70000076,0.040254,23.27665,0.114709124,0.442283604,0.288063367,NA,NA,NA,0,0,0,NA,0,1,"0"
"45",1983,"AL","Alabama",3934102,41.700001,0.265944839,0.48762974,5220496,5250162,NA,9772,13.7,23,NA,4,0.085,5,NA,NA,NA,NA,4.3,6.3,NA,NA,17.10000038,0.040411,35.09223,0.122458994,0.45900818,0.272406545,NA,NA,NA,0,0,0,NA,0,1,"0"
"46",1984,"AL","Alabama",3951820,41.700001,0.265703708,0.4884918,5191055,6194896,NA,10752,11.1,19.1,NA,4,0.085,5,NA,NA,NA,NA,6.4,6.6,0.51,NA,15.19999981,0.040411,28.21489,0.05312771,0.398712356,0.441416763,NA,NA,NA,0,0,0,NA,0,1,"0"
"47",1985,"AL","Alabama",3972523,56.700001,0.265509695,0.49555582,6082189,6618332,NA,11504,8.9,20.6,NA,4,0.087,5,NA,NA,NA,NA,6.4,6.6,NA,NA,15.89999962,0.02915,27.87722,0.146520376,0.45751396,0.473674033,NA,NA,NA,0,0,0,NA,0,1,"0"
"48",1986,"AL","Alabama",3991569,56.700001,0.26538378,0.50339341,6347706,6800976,NA,12080,9.8,23.8,NA,4,0.087,5,NA,NA,NA,NA,6.4,6.8,0.43,NA,15.89999962,0.02915,37.79116,0.069991454,0.32863954,0.234083023,NA,NA,NA,0,0,0,NA,0,1,"0"
"49",1987,"AL","Alabama",4015264,56.700001,0.265559644,0.51553631,6332995,7085440,19590,12735,7.8,21.3,NA,4,0.088,5,NA,NA,NA,NA,5.7,6.8,NA,NA,14.10000038,0.030071,38.51693,0.086340249,0.489916341,0.236081922,NA,NA,NA,0,0,0,NA,0,1,"0"
"50",1988,"AL","Alabama",4023844,56.700001,0.26619333,0.5339092,6877084,8022030,20505,13639,7.2,19.3,0,4,0.087,5,NA,NA,NA,NA,5.7,7,0.48,NA,14.39999962,0.030071,45.02993,0.1202721,0.459908545,0.475556241,NA,NA,NA,0,0,0,NA,0,1,"0"
"51",1989,"AL","Alabama",4030222,56.700001,0.266787082,0.56049889,7401006,8278467,20447,14776,7,18.9,0,4,0.087,5,NA,NA,NA,NA,5.7,7,NA,NA,14,0.014047,37.47248,0.036578115,0.474606636,0.366581689,NA,NA,NA,0,0,0,NA,0,1,"0"
"52",1990,"AL","Alabama",4040389,56.700001,0.267216086,0.55987823,8119095,9076557,20683,15618,6.8,19.2,0,4,0.087,5,NA,NA,NA,NA,5.7,7,0.41,NA,12.5,0.014047,33.83535,0.046376638,0.452057058,0.231548048,NA,NA,NA,0,0,0,NA,0,1,"0"
"53",1991,"AL","Alabama",4091025,56.700001,0.268174291,0.55754292,8855260,9767445,21008,16337,7.2,18.8,0,4,0.087,5,NA,NA,NA,NA,5.7,6.8,NA,NA,13.5,0.012199,39.80908,0.070467122,0.337487947,0.244077508,NA,NA,NA,0,0,0,NA,0,1,"0"
"54",1992,"AL","Alabama",4139269,56.700001,0.269537091,0.55798346,9650515,10536166,21621,17264,7.3,17.3,0,4,0.088,5,NA,NA,NA,NA,5.7,6.8,0.56,4,14,0.012199,39.62212,0.098060489,0.436028693,0.244586997,208.328,207.358,44,0,0,0,NA,0,1,"0"
"55",1993,"AL","Alabama",4193114,56.700001,0.271029562,0.55122143,10242374,11389335,21633,17766,7.5,17.4,0,4,0.09,5,NA,NA,NA,NA,5.7,6.7,NA,NA,14.89999962,0.011804,39.01714,0.125653848,0.53456944,0.245096486,NA,NA,44,0,0,0,NA,0,1,"0"
"56",1994,"AL","Alabama",4232965,56.700001,0.272772044,0.55201852,10815221,11599362,22253,18656,6,16.4,0,4,0.089,5,NA,NA,NA,NA,5.7,6.8,0.39,4,14.19999981,0.011804,39.41495,0.132857919,0.529180154,0.305698645,NA,207.964,43,0,0,0,NA,0,1,"0"
"57",1995,"AL","Alabama",4262731,41.099998,0.274369448,0.5565207,11634629,12448670,22813,19551,NA,20.1,0,4,0.089,5,NA,NA,NA,NA,3.6,6.9,NA,NA,13.80000019,0.070692,33.42988,0.127393305,0.541684102,0.319526478,NA,NA,44,0,0,0,NA,0,1,"0"
"58",1996,"AL","Alabama",4290403,41.099998,0.275188357,0.57655668,12126587,12741148,23407,20245,5.1,14,0,4,0.088,5,0.092,0.073,0.971,1.192,3.6,7,0.49,4,11.60000038,0.070692,29.39924,0.121928684,0.55418805,0.33335431,211.647,NA,43,0,0,0,0,0,1,"0"
"59",1997,"AL","Alabama",4320281,41.099998,0.277051389,0.55794519,12944867,14007883,27996,21118,5.1,15.7,0,4,0.087,5,0.092,0.075,0.971,1.113,4.3,7.1,NA,NA,10.30000019,0.001268,36.02787,0.11085441,0.524592697,0.280268525,NA,NA,44,0,0,0,0,0,1,"0"
"60",1998,"AL","Alabama",4351037,41.099998,0.278093547,0.56370741,13728431,14838951,28642,22217,4.2,14.5,0,4,0.085,5,0.092,0.006,0.983,1.229,4.3,6.8,0.41,4,9.800000191,0.001268,41.35292,0.099780135,0.494997344,0.227182739,NA,211.338,44,0,0,0,0,0,1,"0"
"61",1999,"AL","Alabama",4369862,41.099998,0.279370934,0.56355053,14701938,15501093,29518,22961,4.8,15.2,0,4,0.084,5,0.045,0.094,0.998,1.192,7.9,6.8,NA,NA,11,0.028871,43.8336,0.091221474,0.494004003,0.275612032,NA,NA,46,0,0,0,0,0,1,"0"
"62",2000,"AL","Alabama",4451687,41.099998,0.289000899,0.56273234,15872589,16856646,29792,24067,4.6,13.3,0,4,0.085,5,0.079,0.094,0.984,1.192,7.9,6.8,0.52,4,9.800000191,0.028871,32.09575,0.082662813,0.493010662,0.324041326,217.223,NA,46,0,0,0,0,0,1,"0"
"63",2001,"AL","Alabama",4462832,41.099998,0.29187429,0.55696815,16718151,17859899,29955,25072,5.3,15.9,0,4,0.087,6.5,0.079,0.094,1.015,1.192,7.9,7,NA,NA,10,0.059504,34.73193,0.095868483,0.430565852,0.36530314,NA,NA,44,0,0,0,0,0,1,"0"
"64",2002,"AL","Alabama",4469906,41.099998,0.293637812,0.56069046,17996418,14942192,30584,25762,5.9,14.5,0,4,0.085,6.5,0.079,0.094,1.015,1.192,7.9,6.7,0.42,4,9.100000381,0.059504,33.77884,0.109074146,0.368121042,0.406564954,NA,206.88,43,0,0,0,0,0,1,"0"
"65",2003,"AL","Alabama",4486598,41.099998,0.295495868,0.58149034,18471110,19098788,31079,26660,5.8,15,0,4,0.084,6.5,0.091,-0.06,1.005,1.365,10,7,NA,NA,8.100000381,0.062289,28.70806,0.101116545,0.363103722,0.298095358,223.345,207.084,43,0,0,0,0,0,1,"0"
"66",2004,"AL","Alabama",4506574,41.099998,0.297508091,0.60633987,19544560,21401777,32452,28256,5.8,16.9,0,4,0.084,6.5,0.124,-0.06,1.005,1.365,10,6.8,0.57,4,9.800000191,0.062289,39.14338,0.093158945,0.358086402,0.189625762,NA,NA,43,0,0,0,0,0,1,"0"
"67",2005,"AL","Alabama",4537299,42.799999,0.299620241,0.62909275,20346322,22296792,33064,29681,4.5,16.7,0,4,0.085,6.5,0.125,-0.06,1.01,1.365,10.7,7.3,NA,NA,10.19999981,0.043887,40.31812,0.085707292,0.322624758,0.187609513,225.071,207.752,41,0,0,0,0,0,1,"0"
"68",2006,"AL","Alabama",4587564,42.799999,0.302720785,0.64943564,21550799,23716174,33240,31208,4,14.3,0,4,0.087,6.5,0.125,-0.06,1.019,1.365,11.4,7.3,0.38,4,8.800000191,0.043887,40.31423,0.078255638,0.287163113,0.185593264,NA,NA,41,0,0,0,0,0,1,"0"
"69",2007,"AL","Alabama",4626595,42.799999,0.313774139,0.64946151,23492507,27147360,33349,32528,4,14.5,0,4,0.087,6.5,0.079,-0.067,1.066,1.453,12.9,7.2,NA,NA,9.600000381,0.052396,47.25583,0.112400323,0.373937804,0.152435437,228.52,216.389,42,0,0,0,0,0,1,"0"
"70",2008,"AL","Alabama",4661900,42.799999,0.315516412,0.64498818,24892739,17685583,32995,33952,5.7,14.3,0,4,0.088,6.5,0.045,-0.067,1.066,1.453,12.9,7.1,0.61,4,9.800000191,0.052396,48.36924,0.146545008,0.460712494,0.119277611,NA,NA,43,0,0,0,0,0,1,"0"
"71",2009,"AL","Alabama",4757938,42.799999,0.319741011,0.61530936,26422265,20036326,31746,32661,11,16.6,0,4,0.085,6.5,0.062,0.184,1.08,1.414,12.9,6.8,NA,NA,10.89999962,0.003817,27.26303,0.147971705,0.428912697,0.157580853,227.963,216.273,43,0,0,0,0,0,1,"0"
"72",2010,"AL","Alabama",4785437,42.799999,0.284647912,0.59136045,27699687,26823681,32208,33516,10.5,17.3,0,4,0.082,6.5,0.086,-0.06,1.095,1.414,12.9,6.7,0.43,4,10.10000038,0.003817,19.2529,0.149398401,0.397112899,0.195884096,NA,NA,42,0,0,0,0,0,1,"0"
"73",2011,"AL","Alabama",4799069,42.799999,0.329138458,0.58854091,28061237,26296658,NA,34991,9.6,15.4,0,4,NA,6.5,0.787,1.008,1.377,1.696,13.6,6.8,NA,NA,10,NA,36.02374,0.136560127,0.414794335,0.197691934,231.286,220.273,45,0,0,0,0,0,1,"0"
"74",2012,"AL","Alabama",4822023,42.799999,NA,0.59282213,27686973,28970151,NA,35877,8,16.2,0,4,NA,6.5,0.787,1.008,1.377,1.696,13.6,6.9,0.59,5,NA,NA,37.57097,0.12372186,0.43247577,0.199499772,NA,NA,42,0,0,0,0,0,1,"0"
"75",2013,"AL","Alabama",4833722,42.799999,NA,0.57956797,28203758,28468410,NA,36099,7.2,16.7,0,4,NA,6.5,0.803,1.008,1.382,1.696,13.6,6.9,NA,NA,NA,NA,35.78529,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,"0"
"76",2014,"AL","Alabama",4849377,NA,NA,NA,28416987,28283150,NA,37256,6.8,17.8,0,4,NA,6.5,0.796,1.008,1.374,1.696,14.3,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,"0"
"77",2015,"AL","Alabama",4858979,NA,NA,NA,29377161,26896290,NA,38871,6.1,16.3,NA,NA,NA,NA,0.805,1.072,1.338,1.935,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"78",2016,"AL","Alabama",4863300,NA,NA,NA,30211453,30133184,NA,39509,6,16.2,NA,NA,NA,NA,0.805,1.072,1.342,1.935,14.3,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"79",2017,"AL","Alabama",4874747,NA,NA,NA,32500191,33248411,NA,41000,4.4,15,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"80",2018,"AL","Alabama",4887681,NA,NA,NA,33900004,34406837,NA,42676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"81",2019,"AL","Alabama",4903185,NA,NA,NA,NA,NA,NA,44102,NA,NA,NA,4,NA,6.5,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"82",2020,"AL","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"83",1980,"AR","Arkansas",2286435,37.799999,0.175549209,0.49091798,2147543,2295173,NA,7521,7.6,21.5,NA,3,0.082,6,NA,NA,NA,NA,NA,NA,0.52,NA,11.69999981,0.000223,28.93622,0.149496019,0.608949551,0.33021567,NA,NA,NA,0,0,0,NA,0,1,"0"
"84",1981,"AR","Arkansas",2293201,37.799999,0.177583084,0.50475121,2355786,2528661,NA,8508,7.4,24.1,NA,3,0.078,6,NA,NA,NA,NA,3.7,6.3,NA,NA,8,0.000532,43.18196,0.13610588,0.529905652,0.288245741,NA,NA,NA,0,0,0,NA,0,1,"0"
"85",1982,"AR","Arkansas",2294257,37.799999,0.177899301,0.51509064,2362381,2507229,NA,8947,9.8,23.8,NA,3,0.078,6,NA,NA,NA,NA,NA,6.4,0.48,NA,9.800000191,0.000532,37.20207,0.122715734,0.450861752,0.246275812,NA,NA,NA,0,0,0,NA,0,1,"0"
"86",1983,"AR","Arkansas",2305761,37.799999,0.177719429,0.51647878,2487836,2739140,NA,9463,10.1,21.5,NA,4,0.081,6,NA,NA,NA,NA,5.2,6.5,NA,NA,11.60000038,0.040159,41.13546,0.097434334,0.461565332,0.238085809,NA,NA,NA,0,0,0,NA,0,1,"0"
"87",1984,"AR","Arkansas",2319768,37.799999,0.177532762,0.51278675,2636204,2966859,NA,10486,8.9,23.9,NA,4,0.084,6,NA,NA,NA,NA,5.2,6.8,0.53,NA,10,0.040159,35.22524,0.09756472,0.425993313,0.337309827,NA,NA,NA,0,0,0,NA,0,1,"0"
"88",1985,"AR","Arkansas",2327046,46.400002,0.177443922,0.5135383,3018212,3342458,NA,11128,8.7,22.9,NA,4,0.085,6,NA,NA,NA,NA,7.4,6.7,NA,NA,11.5,0.00086,46.15243,0.102916524,0.45488944,0.30739886,NA,NA,NA,0,0,0,NA,0,1,"0"
"89",1986,"AR","Arkansas",2331984,46.400002,0.177051023,0.51882368,3355403,3622940,NA,11625,8.7,21.3,NA,4,0.086,6,NA,NA,NA,NA,7.4,6.8,0.41,NA,10,0.00086,40.69704,0.075586848,0.373299752,0.17922303,NA,NA,NA,0,0,0,NA,0,1,"0"
"90",1987,"AR","Arkansas",2342355,46.400002,0.176733568,0.52938098,3473218,3887600,17745,12023,8.1,21.8,NA,4,0.085,6,NA,NA,NA,NA,6.7,6.8,NA,NA,11.30000019,0.028208,50.92506,0.065184809,0.47348832,0.206548486,NA,NA,NA,0,0,0,NA,0,1,"0"
